id,complaint_text,intended_urgency,intended_emotion,scenario,style,channel
65,Hi — my direct debit was collected twice this month (12/02 and 14/02) and then a refund was initiated only for one of them. I raised it publicly because I am fed up chasing with different advisors. My card ends 3456 and my account is ACC-662001. This is such a small issue financially but the time wasted on hold is infuriating. Please sort this so I don't have to keep posting here and dragging this out.,Low,High,Data breach / privacy concern,Narrative / storytelling,email
66,"I started my contract on 04/02 after an advisor called me to 'upgrade' my package. The advisor, Ryan, was friendly and talked me into a 24-month contract promising ""no data caps, no throttling, full international minutes"". On 10/02 I was contacted by collections saying I had a data cap breach and my speeds would be reduced after 15GB. I have since chatted twice (agents Amina and Josh) who gave conflicting explanations. I feel mis-sold a plan by someone who deliberately omitted essential terms. It's infuriating because I budget tightly and this changes how I can use my phone. I don't expect an instant miracle but want the mis-selling corrected and compensation for the inconvenience. Account ACC-911204, ref MS-20260210.",Low,High,Mis-selling / misleading sales practices,Casual conversational,live chat
67,"Account: ACC-705331

When I signed up in January I was told the retention offer would be 'locked in' at £18/month for the 24-month term. Today I received the online form outcome saying my application was declined with no reason. I have chatted with three agents and none could explain why a previously-agreed offer was rescinded. I appreciate resolving this may take a few days, but I am absolutely livid at the broken promises. Please reinstate the offer or give me a written, itemised reason why not.",Low,High,Complaint handling process failure,Verbose and detailed,online form
68,"Complaint reference: COMP-20260212

I am registered as having a hearing impairment for communications on account ACC-559770. On 12/02 I asked to cancel a service via the online form and requested confirmation in text. The company sent an email only, leaving me unsure whether cancellation has been processed. I attempted to use the live webchat on 13/02 and typed 'Need SMS confirmation' repeatedly while the agent, Priya, ignored that need and sent links to audio guides. I felt dismissed and unable to exercise my rights to accessible communications.

Please confirm in writing by SMS to 07798 443221 that the cancellation request has been processed and that any future correspondence will be sent via SMS or plain-text email as previously requested. I will wait for your confirmation but I am disappointed and angry that my clear accessibility needs are apparently optional to your staff.",Low,High,Service cancellation difficulty,Legalistic / rights-aware,online form
69,"To whom it may concern,

On 01/02/2026 I received an email stating my personal details might have been included in an accidental disclosure to a third-party marketing contractor. The email was vague, offering little by way of specifics. I filed a complaint via your online form (REF-PRIV-20260201) and provided my account details (ACC-203441) and the date I received the suspicious email. It has now been 18 days with only one automated response and no evidence of a proper investigation.

This lack of transparency is unacceptable. I demand a full timeline: what data was disclosed, the recipient, the legal basis for the transfer, and any remedial measures offered. I also need to know what monitoring you are providing to affected customers (credit watch, fraud alerts etc.). While this is not causing immediate financial loss, the emotional impact is severe and I expect a professional, documented reply within 10 working days. If you fail to provide comprehensive answers I will contact the ICO and consider further action.

Sincerely,

Rebecca Lowe
ACC-203441",Low,High,Porting / number transfer issues,Formal professional,online form
70,"Live chat: my eSIM activation has been a comedy of errors. I ordered an eSIM on 05/02 (Order ESIM-05822) and was told activation would be instant. On 06/02 the QR code failed; I chatted and the agent, Dan, remotely 'activated' it but my phone still showed no service. I can wait — it's not urgent — but the incompetence is maddening. I had to drive to a friend to use their Wi‑Fi because your instructions were contradictory. Please fix this properly and stop giving generic 'turn it off and on again' steps.",Low,High,Contract dispute / early termination fee,Verbose and detailed,social media
71,"Hi — your recent 'downgrade' of my plan without asking is unacceptable. I had the Plus bundle (unlimited data, 2000 minutes) since 2019 and on 07/02 my allowance changed to Basic (500 minutes). I noticed because my bills started showing 'overuse' warnings. I chatted on 08/02 with an agent called Jo who said 'it was a system update' and couldn't guarantee when it would be reverted. I am furious at this unilateral change. I don't need immediate service restoration — I can wait for it to be fixed — but I expect someone to admit the mistake and put my original bundle back on the account. Account ACC-339002.",Low,High,SIM card / eSIM activation problem,Legalistic / rights-aware,online form
72,"@YourProvider So your eSIM 'activation' email is a thrilling treasure hunt. I clicked the QR code and my phone said ""unsupported"". I called, waited 40 minutes, and was told to reinstall the app. Of course I had already done that twice. My account ACC-224155. Wonderful service. Truly. Could you maybe, just once, provide an activation process that works on the first attempt? No rush; I'll be here, calmly seething and considering my options.",Low,High,Service downgrade without consent,Casual conversational,live chat
73,"Order: INST-20260120
Account: ACC-700510

I booked a broadband installation slot for 20/01/2026 and paid the advance fee. The engineer did not attend and the portal showed 'rescheduled' without offering a replacement date. I phoned and spoke to Leila on 21/01; she apologised and said a new slot would be assigned within five working days. It's now 16/02 and I have had two different provisional dates cancelled at short notice with no explanation. I've wasted time waiting in and had to rearrange commitments repeatedly.

This is infuriating. I don't rely on this connection for essential work (so it's low urgency), but the ongoing poor communication and last-minute cancellations are unacceptable for a paid service. I want a firm installation appointment within the next 10 working days, a clear reason for the repeated cancellations, and an explanation of why no priority scheduling was offered after the first miss. Please escalate to the installations manager and confirm in writing. Installer reference numbers and all prior chat transcripts are available on my account; use them. I expect a proper apology and a goodwill gesture given the repeated inconvenience.",Low,High,SIM card / eSIM activation problem,Passive-aggressive / sarcastic,social media
74,"Dear Complaints Team,

Account: ACC-412880
Invoice: INV-20260214

I am writing about an unexplained surcharge of £25 labelled 'contract adjustment' on my latest bill. I terminated an add-on on 02/02 and was told by advisor Claire (call logged 02/02, ref CL-20260202) that there would be no early-termination fee. My invoice arrived on 14/02 showing the £25 fee. I have already raised this on 15/02 via your web chat and received a vague promise of a refund. It is now 18/02 and nothing has been credited.

I note my statutory rights under the Consumer Rights Act and expect a full audit trail explaining the fee's origin, the name of the person who authorised it, and immediate reversal of the charge. This is a minor financial matter in absolute terms but the principle — being charged despite a clear promise — is infuriating. Please respond within 7 working days or provide the case owner and contact details so I can pursue this further.

Yours faithfully,

Gareth Mitchell
ACC-412880",Low,High,Broadband installation delay or failure,Verbose and detailed,online form
75,[GENERATION FAILED — re-run needed],Low,High,Billing overcharge / unexpected fees,Legalistic / rights-aware,email
76,"Dear Customer Relations,

I write regarding an interaction on 08/02/2026 with your support agent Ms. Claire H. (call reference REF-20260208-CH). During that call I was advised that my complaint about persistent text delivery failure (ACC-8421192) was resolved; instead the tone from the agent was dismissive and I was told I had 'no entitlement' to further investigation. Under the Consumer Rights Act 2015 and Ofcom guidance on complaints handling, I request a formal written explanation of why my report was not investigated and a record of all steps taken. Please escalate this matter to a supervisor and confirm within five working days who will re-open the diagnostic tests and what remedial steps will be taken.

Yours faithfully,
Martin Keane
Account ACC-8421192",Medium,Low,Rude or unhelpful customer service,Legalistic / rights-aware,email
77,"Name: Sarah T.
Account: ACC-551203
Issue: Mobile coverage poor since 10/02/2026
Details: Signal drops in garden and living room. Speeds 0.2–0.5 Mbps when 4G indicator shows bars. Your network map says 'full coverage' so that's reassuring. I have rebooted the handset, tested in different rooms and tried a SIM swap. No improvement.
Requested action: Please provide a realistic time estimate for resolution or confirm whether a mast is being upgraded nearby.
REF: REF-20260210-NT

(Yes, I'll keep waiting patiently while you consult your magical network engineers.)",Medium,Low,Network outage / poor coverage,Passive-aggressive / sarcastic,online form
78,"Hello,

My bill dated 01/02/2026 (Invoice INV-20260201, Account 9034721) includes an item described as 'International data surcharge' of £37.50 which I did not incur. My tariff is 'Unlimited EU Roaming' and I was connected only in France between 20–24/01/2026; my usage details show 0GB outside EU countries. I have attached a screenshot of the roaming setting and prior bill from January showing the same plan.

Please remove the £37.50 charge and apply the appropriate credit. I contacted support twice on 05/02/2026 (calls with agents Tom and Aisha; ref numbers 05-02-T and 05-02-A) and was told it would be investigated but no correction has appeared. I would appreciate confirmation by 24/02/2026 and a clear explanation of how this happened.

Kind regards,
A. Patel
Account 9034721",Medium,Low,Billing overcharge / unexpected fees,Polite but firm,email
79,"Hi,

Invoice INV-20260201 shows an unexplained charge of £14.99 (REF-20260201). Please remove and confirm.

Thanks,
L. Morgan
ACC-332110",Medium,Low,Billing overcharge / unexpected fees,Terse and minimal,email
80,"@ProviderHelp My home broadband has been dropping to unusable speeds since 04/02 — streaming stalls and pages fail to load. On average getting 3–5 Mbps on a 100 Mbps plan. I’ve restarted the router, checked wired and Wi‑Fi tests, and rebooted devices. Can you check node status for W10X area and advise expected time to restore normal speeds? ACC-774205.",Medium,Low,Slow or unreliable internet speed,Casual conversational,social media
81,"Dear Support Team,

I have been a customer since 2018, and over the last six months there have been four separate issues that remain partly unresolved. I set out the timeline so you have the full context:

- 05/08/2025: Reported intermittent broadband disconnections (REF-20250805-A). Engineer visit scheduled but cancelled; no follow-up.
- 14/10/2025: New phone line order incorrectly provisioned as a business line (ACC-667122). I called and was promised re-provisioning within seven days; not completed.
- 02/12/2025: Unexpected billing adjustment of £46.20 posted to account (INV-20251202). I called twice; Case REF-20251203 remains open.
- 03/02/2026: Current issue — incoming texts for one number are not delivered intermittently.

I have spoken with three separate agents (Alice, Ben, and Omar) and received NUMEROUS reference numbers but no consolidated resolution. I am requesting a single point of contact, a summary of actions taken to date, and a clearly dated action plan to resolve outstanding items within ten working days. My account is ACC-667122; please acknowledge receipt and assign a case manager.

Yours,
Daniel Ruiz",Medium,Low,Multiple unresolved issues over time,Narrative / storytelling,email
82,"To whom it may concern,

I am writing about mis-selling that took place at point of sale on 16/11/2025. I was presented with 'SuperHome Fibre Plus' as including a multiroom mesh unit and guaranteed upload speeds of 25 Mbps. My install on 02/12/2025 included only a single router, and steady tests show upload around 3–4 Mbps. The salesperson, Mr. James Arbuthnot, signed a paper that lists the mesh equipment and the 25 Mbps guarantee.

Relevant details:
- Account: ACC-990441
- Sales reference: SALE-20251116-JA
- Installation date: 02/12/2025 (Job J-20251202)
- Adverts and sales script: quote attached from your website (screenshot dated 16/11/2025)

I require the following actions:
1) Provision of the mesh units promised at sale, or a documented refund of the price differential.
2) Immediate remedial works to bring upload speed to the contractually represented 25 Mbps.
3) Written confirmation of whether any further charges will be applied as a result of corrective work.

Please respond within five working days with a named contact and the proposed remediation schedule. If you decline, please provide the contractual clause on which you rely to justify the failure to deliver the agreed equipment and speeds.

Regards,
Samantha Brooks
ACC-990441",Medium,Low,Mis-selling / misleading sales practices,Verbose and detailed,email
83,"Agent: Hi, I'm Sam. How can I help?
Customer: Hello Sam. I called earlier today about an appointment that was cancelled without notice (REF-20260209-B). The agent then disconnected. I would like this escalated to a supervisor and a new appointment within three working days.
Agent: Thank you — can I confirm the account number?
Customer: ACC-441100. I spoke to agent Priya at 09:15 and was offered a callback that did not come. Please advise the supervisor handling this complaint and provide a reference.

Thank you,
Michael",Medium,Low,Rude or unhelpful customer service,Formal professional,live chat
84,"Product: Phone handset
Account: ACC-556009
Issue: Screen flicker since 28/01/2026
Model: Vento X2 serial SN: VX2-99532
Warranty status: Within 12 months
Requested action: Repair or replacement under warranty
REF: REF-20260128-HF",Medium,Low,Device / handset fault or warranty dispute,Terse and minimal,online form
85,"Public post: I signed up in May 2025 for a 24-month plan but have been charged an early termination fee after a service change. My original contract was explicitly for £20/month; when I upgraded handset in January I was told no new contract would be applied. Today I received a final demand for £120 ETF. Account ACC-775001, sale ref SALE-20250112. Please can someone clarify the contractual basis for this charge and confirm whether it will be reversed. I will share further details if contacted directly.",Medium,Low,Contract dispute / early termination fee,Narrative / storytelling,social media
86,"Dear Complaints Team,

I refer to my order for broadband installation placed on 10/12/2025 (Order REF-20251210-IB, Account ACC-711223). Installation was booked for 04/01/2026, an engineer attended that day but left without completing due to a missing junction box; I requested a rebook. The current position is that no further appointment has been scheduled despite weekly calls on 12/01, 19/01 and 02/02 (call refs 20260112, 20260119, 20260202). I rely on this service to work from home. Under the Consumer Contracts Regulations and Ofcom guidance, I request you provide a firm installation date within seven days and confirm any compensation for delay as per your terms. If you cannot meet that timeframe, please set out why and what alternative arrangements you propose.

Yours sincerely,
E. Hammond
ACC-711223",Medium,Low,Broadband installation delay or failure,Legalistic / rights-aware,email
87,"Hello,

I am being charged an early termination fee of £149.99 on my account (ACC-558770) after notifying you of relocation on 01/02/2026 and being told by sales agent Lewis that my existing contract could be transferred. There is a disagreement between what I was told and the invoicing. Please cancel the ETF and provide confirmation in writing. If you require proof of the conversation I can forward call reference 01-02-LEWIS.

Kind regards,
R. Patel",Medium,Low,Contract dispute / early termination fee,Polite but firm,email
88,"Name: Tom G.
Account: ACC-223344
Issue: Accessibility – customer support by text required
Details: I am partially deaf and requested SMS/text-based support on 15/01/2026 and again on 29/01/2026. Calls are not accessible for me. Neither request has been actioned and I received two automated voice reminders on 01/02/2026.
Requested outcome: Please register my accessibility preference (SMS only) and assign a text-based case handler for ongoing correspondence. Confirm within 3 working days.
REF: ACC-223344-ACCESS",Medium,Low,Accessibility needs not met,Polite but firm,online form
89,@Provider I see you charge 'roaming premium' when I cross into Northern Ireland now — very convenient. My bill shows £22.40 for two short calls on 28/01; these were to a UK landline from Belfast. Please explain why I'm being charged an international rate when both my number and recipient are UK-based. ACC-663001.,Medium,Low,Roaming charges / international billing,Passive-aggressive / sarcastic,social media
90,"Public post: I was charged £89.60 in roaming data fees after a business trip to Spain (dates: 18–21/01/2026). My package included 'Business Europe Roaming' per the plan details on your website and I did not use more than 500MB. I have contacted customer services twice (refs 27/01-CS1 and 03/02-CS2) and been given conflicting answers. Please can someone from billing review INV-20260125 and confirm a refund of the disputed £89.60, and state what measures you will take to prevent similar billing for business customers in future? Account ACC-884411. #billing #roaming",Medium,Low,Roaming charges / international billing,Verbose and detailed,social media
91,"Complaint reference: REF-20260211-CHR

Issue: Failure of complaint handling process

Account: ACC-338822
Date first logged: 07/01/2026
Details: I submitted a formal complaint on 07/01/2026 (email and online) and was assigned reference REF-20260107. I received an acknowledgement but no substantive response thereafter. I escalated on 25/01/2026 and was promised a resolution within 10 working days; that deadline passed without contact. This repeats the pattern set out in Ofcom guidance for timely complaint resolution.

Requested action:
1) Immediate confirmation of next steps and named case officer.
2) A schedule for investigation and a target date for final response (within 7 days).
3) Records of all actions taken to date.",Medium,Low,Complaint handling process failure,Legalistic / rights-aware,online form
92,"Hi,

I am registered as a vulnerable customer (medical condition: hearing impairment, registered on 12/11/2020) but a support agent on 09/02/2026 asked standard identity questions that are difficult for me to answer by phone. I prefer email or SMS. Can you ensure that my account (ACC-447711) is flagged and that future contacts are via written channels? Also please confirm what adjustments you will make to prevent repeated distress.

Thanks,
Amira Khan",Medium,Low,Vulnerable customer mistreatment,Casual conversational,email
93,"Hello Support,

My Vento Z1 handset (model VZ1-2020, IMEI 352099101234567) purchased on 14/03/2025 is showing repeated battery shutdowns and will not power on intermittently after a recent update. I raised a ticket on 29/01/2026 (REF-20260129-VZ) and was advised to perform a factory reset; the problem persists. The device is within the 24‑month warranty. Please advise next steps for repair or replacement and arrange a prepaid shipping label if replacement is authorised. I can be reached on email for photographic evidence.

Best,
Owen Matthews
ACC-900210",Medium,Low,Device / handset fault or warranty dispute,Casual conversational,email
94,"I've been trying to resolve three separate problems since November 2025 — slow broadband, incorrect billing, and a handset fault — and each time the issue is closed as 'resolved' but reappears within days. Timeline: Nov 12 (slow speeds), Dec 3 (bill error), Jan 7 (handset fault). I have posted about this before and have spoken to six agents. I need a single consolidated investigation, an interim remedy to make services usable within 5 working days (temporary router or credit) and a written plan to prevent recurrence. Account ACC-119900. Please contact me publicly to confirm acknowledgement.",Medium,Low,Multiple unresolved issues over time,Narrative / storytelling,social media
95,"Form entry:
Name: Dr. Evelyn Moore
Account: ACC-556788
Issue: Broadband speeds consistently below advertised level since 02/02/2026
Measured download: 6–8 Mbps (advertised 80 Mbps)
Tests performed: Wired speed tests, router reboot, different ethernet cable
Requested action: Please run line diagnostics and provide timeslot for engineer visit within five working days. If an engineer is not available, provide a temporary speed credit.
REF: SPEED-20260202",Medium,Low,Slow or unreliable internet speed,Formal professional,online form
96,"Email to Data Protection Officer,

I reference your security incident notification received on 03/02/2026 (ref PRIV-20260203). I require immediate confirmation of which personal data fields were accessed, the accounts affected (my account ACC-772234 is among those listed), the date(s) of access, and what mitigation you have applied. Please also provide details of any third parties involved and confirm the point of contact for follow-up. Under the ICO's expectations I request this information within five working days.

Regards,
N. Fisher",Medium,Low,Complaint handling process failure,Narrative / storytelling,email
97,"Dear Accessible Services,

I am writing to record a failure to provide reasonable adjustments. I contacted customer services on 04/02/2026 to request billing statements in large print and to arrange text-only support; my request references REF-20260204-AX. To date, paper statements in standard print are still being issued and I received an automated voicemail reminder. As you are aware, under the Equality Act 2010 service providers must make reasonable adjustments for customers with disabilities. Please confirm by 19/02/2026 that: (a) my account (ACC-660110) will receive large-print or email statements only, (b) my contact preference is set to SMS/email, and (c) staff handling my account have been notified of the adjustment.

Yours sincerely,
Claire Donovan",Medium,Low,Data breach / privacy concern,Terse and minimal,online form
98,Public: Hello @ProviderSupport — I requested porting of my mobile number on 28/01/2026 (port request PR-20260128) and the process was due to complete on 30/01. My number is still with the old provider and your system shows 'in progress'. I need the port to complete by 22/02/2026 as I have clients who use that number. Please confirm the expected completion date and provide a direct contact who can update me. Account ACC-992311.,Medium,Low,Accessibility needs not met,Legalistic / rights-aware,email
99,"Agent: Hello, I need assistance with a Direct Debit issue.
Customer: I set up a DD on 01/01/2026 for £35.00 monthly (ACC-331120). On 05/02/2026 two payments were taken: £35.00 and a duplicate £35.00 on the same day. Reference: DD-20260205-DUP. My bank has flagged the second payment as unauthorised and placed a temporary block on payments pending resolution. Please arrange an immediate refund of the duplicate £35.00 to my bank account and confirm the correct next collection date. I can provide bank transaction references if required.
Agent: Thank you. Please escalate to billing and confirm within 48 hours.

Kind regards,
Hannah Li",Medium,Low,Porting / number transfer issues,Polite but firm,social media
100,[GENERATION FAILED — re-run needed],Medium,Low,Direct debit or payment processing error,Formal professional,live chat
101,"ACC-7291834
I am a vulnerable customer and was spoken to dismissively on 03/02/2026 by your advisor Mark. I explained my support needs and was ignored. This treatment is unacceptable. Please escalate and contact me by phone within 3 working days.
— Janet H.",Medium,Medium,Vulnerable customer mistreatment,Terse and minimal,online form
102,"Dear Customer Relations,

Account: 8354912
Plan: Unlimited Plus
Reference: REF-20260112

On 12 January 2026 my plan was downgraded from Unlimited Plus to Basic without my consent. I did not request or authorise this change; I only noticed the reduction in allowances when my bill arrived on 27/01/2026. I have called twice (23/01 and 26/01) and spoke to advisors Emma and Paul who assured me the account would remain unchanged. This downgrade is unacceptable and has caused me additional charges.

I require the original plan reinstated, a refund for any overcharges, and a written explanation of how this happened. Please respond within 5 working days.

Yours sincerely,
Arun Patel
Account 8354912",Medium,Medium,Service downgrade without consent,Formal professional,email
103,"Hi,

I'm on a vulnerable customer flag and I felt really let down by your team. I emailed 05/02/26 and spoke to Sophie on 08/02 — she seemed rushed and didn't note my care needs. I'm disappointed and quite stressed about how this was handled. Can someone who understands vulnerability support contact me? My account is 9023347.

Thanks,
Fiona",Medium,Medium,Vulnerable customer mistreatment,Casual conversational,email
104,"Account: 554210
Reference: C-20260201

I am disappointed with the conduct of your customer service team. On 01/02/2026 I called regarding billing discrepancies and the advisor was both abrupt and unhelpful. I requested escalation but was told there was no supervisor available. This is unacceptable. Please review the call recording and advise corrective action within 5 working days.

Regards,
Mr. K. Davies",Medium,Medium,Rude or unhelpful customer service,Formal professional,online form
105,"Hi there — order 987654321 (SIM order placed 02/02/2026, REF 9876-02-02).

I have been trying to activate an eSIM for two days. Steps I have taken:
- Inserted eSIM QR, scanned at 09:10 on 03/02/26
- Phone restarted three times (iPhone 13 Pro, IMEI 356789012345678)
- Tried APN settings manually and set network selection to automatic
- Spoke to support at 14:00 on 03/02 with Hannah who advised a network refresh; nothing changed
- ICCID on the pack is 8944041234567890123

Current status: phone shows 'No Service' and messages say SIM not provisioned. I need the eSIM active today — work calls routed through this number. Please escalate to technical support and provide a realistic ETA. I am frustrated with repeated failed activations and need a clear next step.

Order: 987654321
Thanks,
Liam",Medium,Medium,SIM card / eSIM activation problem,Verbose and detailed,live chat
106,"Complaint REF: CMP-20260203
I have been sent from person to person. My complaint remains unresolved. Please escalate. I expect a substantive response within 5 working days.

— S. Ahmed",Medium,Medium,Complaint handling process failure,Terse and minimal,online form
107,@YourProvider I accepted a retention offer on 04/01/2026 (promo code LOYAL21) but the discount was never applied to my latest bill (Account 662233). I was promised £10 off per month for 12 months. This is disappointing and looks like poor practice. Please honour the offer and correct my bill. #CustomerService,Medium,Medium,Customer loyalty not rewarded / retention offer dispute,Formal professional,social media
108,"@YourProvider I have logged faults under TICKET-001 (15/12/25), TICKET-014 (22/01/26) and TICKET-029 (28/01/26). None have been resolved. This is a pattern of systematic failures affecting my service and causing financial loss. I expect you to comply with your obligations under the Consumer Rights Act and to remedy all outstanding issues immediately. If you fail to act I will escalate to Ofcom and seek formal remedies.",Medium,Medium,Multiple unresolved issues over time,Legalistic / rights-aware,social media
109,"@YourProvider I was sold ""Premium Broadband"" on 11/11/2025 with the express promise of 'no caps, no throttling'. My recent bill and speed tests show otherwise. I was told at point of sale the package included priority support — that was not honoured. I expect a full explanation and a refund for mis-sold services. Account: 441188.",Medium,Medium,Mis-selling / misleading sales practices,Formal professional,social media
110,"Dear Sir/Madam,

Account: 772900
Reference: CAN-20260201

I requested cancellation of my contract on 01/02/2026 and was promised confirmation within 48 hours. It has now been six days and my account remains active with another bill issued. I have called twice (05/02 spoke to James). This delay is causing ongoing charges which I do not accept. Please process the cancellation immediately, confirm the end date, and refund any charges beyond my cancellation request.

Kind regards,
Maya Singh",Medium,Medium,Service cancellation difficulty,Polite but firm,email
111,"@YourProvider I pay for Fibre 150 (up to 150Mbps). Since 21/01/26 my download speed has averaged 14Mbps at peak times (see speedtest.net results attached earlier). I have reset the hub multiple times, swapped cables, and an engineer visit on 28/01 did not fix it. This is frustrating and unacceptable given the premium I pay. Account 300112. Please provide a permanent resolution and compensation for the ongoing disruption.",Medium,Medium,Slow or unreliable internet speed,Verbose and detailed,social media
112,"Hey @YourProvider — porting issue. I requested PAC on 27/01/26 and was told my number would move on 29/01. It's 04/02 and my number still rings with the old provider, so I can't receive business calls. Ref PORT-20260127. This is really inconvenient — please sort this out today and update me with the cause.

Thanks,
Oli",Medium,Medium,Porting / number transfer issues,Casual conversational,social media
113,"Hello,

Account: 558112
Reference: BILL-20260202

I returned from Spain on 22/01/2026 and have been charged £128.45 for roaming data (itemised on 28/01/2026 bill). I had purchased the RoamSafe add-on on 15/01/2026 and was assured text confirmations would appear — I received none. I only used messaging and occasional maps; that charge is disproportionate and unexpected. Please investigate and refund the roaming charge in full.

Regards,
Noah Turner",Medium,Medium,Roaming charges / international billing,Casual conversational,email
114,"Privacy concern — Account 990012

On 31/01/2026 some of my contacts received unknown verification texts purporting to be from your service. I did not send these messages. I am concerned my account has been compromised or data shared improperly. This is a serious matter given the sensitivity of contact information. I request an immediate investigation and written confirmation of what data was accessed and any remedial steps. Please treat this with urgency.

Sophie",Medium,Medium,Data breach / privacy concern,Formal professional,online form
115,@YourProvider Great job charging me £60 for 8 minutes of data roaming while I was on a ferry. Nothing like being surprised with a lovely bill to brighten the day. Please refund REF: ROAM-20260120 and explain why my RoamAdd-on didn't apply. #NotImpressed,Medium,Medium,Roaming charges / international billing,Passive-aggressive / sarcastic,social media
116,"Agent: Hello, how can I help?
Customer: I have the pleasure of informing you that I've been moved along the support conveyor belt for SIX calls. Each time I'm promised a call-back that never comes. Ticket IDs: 1101, 1107, 1122. You said 'we're escalating' on 25/01 and 29/01. Nothing. I'm not asking for miracles, just for someone to actually fix the issue. Please escalate to a manager now and stop the runaround. I am losing patience.

Order 564738
— Ruth",Medium,Medium,Multiple unresolved issues over time,Passive-aggressive / sarcastic,live chat
117,"Dear Complaints Team,

Account: 776655
Complaint REF: HNDL-20260130

I refer to the mishandling of my earlier complaints (logged 30/01/2026). Under the Consumer Rights Act and your published complaints procedure, you are required to investigate and respond. I have provided evidence and requested escalation but have received no substantive reply. If you do not provide a written resolution within 14 days I will pursue the matter with Ofcom and consider further legal options.

Yours faithfully,
Catherine O'Neill",Medium,Medium,Complaint handling process failure,Legalistic / rights-aware,email
118,"Account number: 884400

So I cancelled early and was charged an ETE fee of £190 on 02/02/2026. The contract started 01/10/2024 and I was assured by sales that I could leave with a nominal admin fee if moving abroad. Clearly someone at sales lied. I expect the early termination fee waived immediately. Charging me for misleading advice is unacceptable. Fix this.

— Ben",Medium,Medium,Contract dispute / early termination fee,Passive-aggressive / sarcastic,online form
119,"I bought a handset (Samsung A53) from your store on 05/11/2025. At first it booted and then on 10/12/25 the screen started flickering. I returned it, was given an RMA (RMA-4598) and told it would be repaired. After two 'repairs' the same problem resurfaced on 15/01/26. Each time I am without my phone for weeks; I work as a carer and need a phone every day. Your repair service has failed me repeatedly. I am now asking for a replacement handset or full refund under the warranty. This ongoing disruption is unacceptable.

— Maria Lopez",Medium,Medium,Device / handset fault or warranty dispute,Narrative / storytelling,online form
120,"@YourProvider Business account: B-2211
PAC issued 20/01/26 for number 07700 900111, expected port 22/01. Port still not completed and customers cannot reach me. Reference PORT-B-20JAN. Please action immediately — this is causing lost bookings and revenue. I require confirmation of new port date today and compensation for lost time.",Medium,Medium,Porting / number transfer issues,Formal professional,social media
121,"Hi,

I spoke to Darren on 29/01/2026 regarding a billing error (someone charged an extra £45 for an international call I never made). Darren was dismissive, cut me off and told me to 'check your usage'. This was rude and unhelpful. I expect a written apology and that the £45 is removed. My account is 331122.

Regards,
Ethan",Medium,Medium,Rude or unhelpful customer service,Passive-aggressive / sarcastic,email
122,"Order 77665532

I've just received an eSIM email but it won't activate. ICCID 8944049876543210001. I tried the QR code at 07:30, it says 'activation failed'. Chatted earlier with Sam who said he'd 'raise a tech ticket' but no update. I need this working for travel tomorrow. Please help now.",Medium,Medium,SIM card / eSIM activation problem,Casual conversational,live chat
123,"Account: 443377
Location: Truro, PL1

For the last six weeks there have been intermittent outages around 07:00–09:00 and 18:00–22:00. On 26/01/26 a full outage lasted 3 hours and I couldn't take emergency calls at home. I work from home and this is disrupting my shifts. I have raised tickets 3005 and 3012; engineers attended but the problem recurs. Please investigate the local mast (mast ID M-PL1-09) and provide a timeline for permanent repair and a credit for lost service.

Thank you,
Hannah R.",Medium,Medium,Network outage / poor coverage,Narrative / storytelling,online form
124,"Installation appointment reference INST-20260115

An engineer was scheduled for 15/01/2026 between 08:00–12:00 and did not attend or provide a call. I waited all day. When I called you offered the next appointment in three weeks. Under the Consumer Contracts Regulations and Ofcom guidelines I am entitled to a timely installation and compensation for unreasonable delay. Please reschedule within five working days and confirm any automatic credit for the missed appointment.

— Oliver Green",Medium,Medium,Broadband installation delay or failure,Legalistic / rights-aware,online form
125,"Order: 992211
Account: 554433

I accepted a retention package during a call on 20/01/2026 with advisor Claire — 12 months at £18/month, handset discount applied. My new bill issued 01/02/2026 shows the full charge of £28 and the handset discount missing. I've called three times (20/01, 25/01, 31/01) and each time was told it would be corrected 'next bill'. This is causing ongoing overcharge and inconvenience. I need the contract record updated, a refund for the overcharge of £10 for this billing period, and a confirmation that the retention terms agreed on 20/01 will be honoured going forward. Please escalate to retention team now.

Thanks,
Priya Sharma",Medium,Medium,Customer loyalty not rewarded / retention offer dispute,Verbose and detailed,live chat
126,"Hi @YourProvider, I'm absolutely livid. My direct debit of £42.50 (ACC-8421173) was taken twice on 04/02/2026 — your app shows one payment pending, my bank shows two withdrawals. I phoned on 05/02 and spoke to Maria in Billing who said she 'would sort it' but nothing has changed. I now have an unauthorised £42.50 pending that affects my overdraft and my partner and I are scrambling to cover groceries this week. This is not a petty inconvenience; it's damaging my credit and peace of mind. Fix this today and reverse the duplicate payment or I will escalate publicly and to the Financial Ombudsman. #appalling #fixthis",Medium,High,Direct debit or payment processing error,Narrative / storytelling,social media
127,"Reference: REF-20260201
I see that you accidentally exposed my email and partial billing address in a bulk message sent on 28/01/2026. How considerate. I submitted your online security form on 29/01 (ticket TKT-55921), and received an automated reply saying “we take this seriously.” That was quaint. Four days later, nothing: no substantive explanation, no apology, no mitigation advice. Which is understandable — why would a company that leaks customer data want to reassure anyone? Please confirm exactly what data was shared, when it was deleted, who had access, and what steps you are taking to prevent repeat occurrences. I expect a written response within five working days; silence will leave me no choice but to complain to the ICO.",Medium,High,Data breach / privacy concern,Passive-aggressive / sarcastic,online form
