id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
1475,"No access to a decent broadband speed makes me want to scream! I called last week (again!) after a month of half-hearted responses about the slow speeds affecting my kids’ online schooling. Each time I’m told it's ‘being investigated’, and yet here we are with poor connectivity. I can't believe I’m having to waste so much time on this nonsense while you bumble about. It’s exhausting and infuriating. Can someone not just step up and fix this once and for all?",Low,High,Slow Broadband Speeds,Terse and minimal,Parent managing a family plan,Second attempt — raised once before with no resolution
1476,"This is becoming a joke! I’ve switched to your service and am facing terrible network coverage in my area! I can’t even make calls in my own home. I’ve reached out 3 times over the last couple of weeks, each time a different representative has given me some excuse. This is appalling service for a new customer! If things don’t improve soon, I’ll just go back to my old provider! Enough is enough!",Low,High,Poor Network Coverage,Terse and minimal,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
1477,"I’ve received yet another faulty handset! This is ridiculous! I called your support team earlier today and was told there’s nothing anyone could do because it’s ‘user error’. But that’s not true! I’ve just received this phone recently. This is unbelievable and unacceptable. I was spoken to by Sam who was absolutely no help. I don’t feel valued at all, and if this persists, I will look into legal options. I just want a phone that works!",Low,High,Faulty Hardware / Handset Issues,Narrative / storytelling,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
1478,"To whom it may concern, I am utterly appalled to discover that I’ve been charged incorrectly! I have a disability that makes handling these matters extremely stressful. I contacted customer support last Friday, yet still no resolution. I spoke with Clara, who promised to escalate my issue, but I have received nothing and I’m fed up! I expect you to rectify this overcharge immediately or I shall take matters further. This is unacceptable!",Low,High,Overcharging & Incorrect Billing,Legalistic / rights-aware,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
1479,"I am livid! After waiting for far too long on your customer line, I got disconnected! This is not how you treat your customers, especially those vulnerable like myself. I called last Tuesday and since then, nothing has changed. It’s absolutely unacceptable to make people wait so long — it demonstrates a complete lack of regard for us. If this continues, I’ll be escalating the matter to Ofcom. Just wow.",Low,High,Auto-Renewal Without Consent,Casual conversational,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1480,"Having waited on hold, I must say this is quite possibly the worst customer service experience I’ve ever had. I expect better, especially as a loyal parent managing family plans! After my second attempt last week, I was disconnected yet again. Your service is laughably slow! If it keeps going like this, you can bet I’ll take my business else! It’s beyond frustrating to be treated like this.",Low,High,Long Call-Waiting Times,Terse and minimal,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
1481,"I reached out about your auto-renewal policy when I accidentally received a bill for a service I didn’t agree to and nobody seems to take me seriously! I can’t believe I need to escalate to a manager to resolve this. I’ve spoken to two representatives last week and they just brush me off with vague promises. I’m completely fed up with the lack of accountability. If I don’t get clarity soon, I might just go to Ofcom — this isn’t how you treat your customers!",Low,High,Loyalty Penalty,Terse and minimal,Parent managing a family plan,First contact — raising the issue for the first time
1482,"Having to wait so long for assistance is putting me on edge! I’m honestly baffled that I need to wait again. The last two times I connected with support, I was left in the lurch for an inexcusable length of time. I spoke to Derek last Friday, and he was inconceivably unhelpful. I don’t have all day to chase you about my account. If this isn’t resolved immediately, I’m going to make a formal complaint!",Low,High,Long Call-Waiting Times,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
1483,"I can't believe I've had to reach out again about this billing issue! I noticed I've been charged an extra £20 this month, and when I spoke to Sarah on the 5th, she assured me it would be fixed! It’s ridiculous that I need to fight for what’s rightfully mine. I’m absolutely livid! Can someone please sort this out before I consider switching providers?",Low,High,Overcharging & Incorrect Billing,Casual conversational,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
1484,"I'm reaching out for what feels like the hundredth time regarding my bill discrepancies. I’ve been a loyal customer for over a decade, and this is simply appalling. Despite speaking with your customer service team multiple times, including Thomas on September 8th, nothing has been resolved. I demand to escalate this matter directly to a manager or the ombudsman. I deserve a resolution, not the runaround!",Low,High,Overcharging & Incorrect Billing,Legalistic / rights-aware,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1485,"I’ve been on hold for over 45 minutes today! How is this acceptable? I’ve been a loyal customer for ten years! I spoke to a representative from your call centre back in August and raised the issue then, but I’m still left in this exasperating limbo. I swear, if I have to go another day with these horrendous wait times, I will escalate my complaint.",Low,High,Long Call-Waiting Times,Legalistic / rights-aware,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
1486,"Well, here I am again! Can you believe this? I've called 5 times over the last couple of weeks, and every time it’s the same – horrible wait times! I just wanted to sort out my account, but instead, all I get is music while I wait. If this is the standard of your service, I might as well consider another provider.",Low,High,Long Call-Waiting Times,Passive-aggressive / sarcastic,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
1487,"I can't believe how difficult it is to cancel a simple service with you guys! I tried to call yesterday, but your line kept cutting off. I’m a busy parent managing my family's plan, and I don't have time to wrestle with this nonsense! This is so frustrating! I expect better from a company like yours. Please help me sort this out before I lose my patience!",Low,High,Difficulty Cancelling Service,Casual conversational,Parent managing a family plan,First contact — raising the issue for the first time
1488,"I just switched to your service and the first thing I encounter is an awful call-waiting time? I've been on hold for almost an hour now to get an answer to a simple question! This lack of attention is unbelievable! If it doesn’t improve soon, I’ll have to rethink my choice and possibly head back to my old provider.",Low,High,Long Call-Waiting Times,Casual conversational,Recently switched from another provider,First contact — raising the issue for the first time
1489,"I’m fed up with my handset! For weeks now, it keeps freezing and shutting down. I’ve called regarding this issue several times, most recently just last week! You say you care, but you keep telling me to be patient. Don’t you understand how difficult this is for me? I really need a functional phone! If this isn’t resolved soon, I’ll have to seek legal advice.",Low,High,Faulty Hardware / Handset Issues,Casual conversational,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
1490,"Your AI support is a total joke! I attempted to resolve an issue with my account through the chatbot, and all it did was insult my intelligence! I’ve spent hours trying to communicate vital information that your AI just doesn’t grasp. I've escalated this already, but you keep putting me off. This has to change! How can I keep my business with you when your support is so painfully inadequate?",Low,High,Ineffective AI / Chatbot Support,Verbose and detailed,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1491,"I’ve reached my limit with your long waiting times. Each time I call for support, I’m left hanging for what feels like an eternity. I can’t even remember how long I've been trying to reach you at this point! I just want an answer! If I have to keep repeating myself to a manager, I’ll be taking this issue up with Ofcom.",Low,High,Long Call-Waiting Times,Terse and minimal,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1492,"After calling three times regarding your support, the issue is still not resolved. I can’t stand it! You don’t even bother to update me on what the hold-up is. I’m frazzled and at my wits' end. If I don’t get some answers soon, I’ll have to escalate this to a manager or even legal advice. How is this even acceptable?",Low,High,Long Call-Waiting Times,Narrative / storytelling,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1493,"I’ve been with your company for over ten years, and yet I’m now being penalised for my loyalty with hidden charges? This is disgraceful! I’m appalled that after all this time, I have to question my bill. I expect transparency, not a guessing game! I demand to speak to someone with authority about resolving this issue immediately.",Low,High,Loyalty Penalty,Casual conversational,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
1494,"I checked my bill, and after having a lengthy conversation with Sophie last week, I was shocked to find another hidden fee added on! This is totally unacceptable! I’m fed up! I’ve already raised this issue before, so what am I paying for? If you don’t sort this out immediately, I will take my business elsewhere.",Low,High,Hidden Fees & Charges,Legalistic / rights-aware,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
1495,"You really should change your name to ‘hidden fees’ because that’s all I seem to encounter! On the second attempt to sort this out, I just had a lengthy call with customer service about the loyalty penalty that’s just cost me £30! I’m absolutely furious! I feel like I’m being taken for granted, and if I don’t get satisfaction soon, I will escalate to Ofcom.",Low,High,Loyalty Penalty,Verbose and detailed,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1496,"Finding you've hidden charges on my bill is just unacceptable! I demand an explanation for this blatant oversight! I raised the issue last week, and still nothing from your side! If you think I’ll let these charges slide, think again. I’m a student barely scraping by, and I won’t tolerate this any longer!",Low,High,Lack of Progress Updates,Verbose and detailed,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
1497,"I absolutely can't believe how little communication I've received! Not a single update about my progress! I called you last week about my account and have heard nothing since. I feel abandoned! If I don't get an update soon, I really will consider switching to another provider. How is it so difficult to provide updates?",Low,High,Poor Network Coverage,Legalistic / rights-aware,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
1498,"I’ve just realised that you’ve been charging me an EARLY TERMINATION PENALTY! This is absolutely disgusting! I switched to you less than six months ago, and I was assured there would be no hidden fees. Why am I being punished for being a loyal customer? I demand that this be dealt with NOW!",Low,High,Loyalty Penalty,Terse and minimal,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
1499,"I am absolutely livid about the unexpected price increase on my contract. After being a loyal customer for over a decade, this is the gratitude I receive? I've already contacted your customer service team three times about this, and no one seems to care to explain why I’m being charged more. I will escalate this to your manager or the Ombudsman if I don't get a clear answer within 48 hours. This is disgraceful!",Low,High,Mid-Contract Price Increase,Verbose and detailed,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1500,"I've just contacted you about my faulty handset for the FIRST TIME, and I'm livid! The phone keeps freezing, and I can't afford to be without it—my small business relies on it completely! Surely there must be a warranty? I expect you to solve this, or I will simply leave your service. This shouldn't be happening at all!",Low,High,Faulty Hardware / Handset Issues,Verbose and detailed,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
1501,"Honestly, I don’t think I’ve ever been this frustrated! I can’t believe I’ve spent the last hour talking to your chatbot, and it was completely USELESS! I was trying to get support for my broadband issue, and it just gave me automated answers that don't help! What’s the point of AI support if it's an absolute waste of time?",Low,High,Faulty Hardware / Handset Issues,Casual conversational,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
1502,"I am absolutely fuming! I’ve reached out to your customer support multiple times over the past couple of weeks, and each time, nothing was resolved. Today, the chatbot couldn’t even understand my issue about my broadband connection! At this rate, I’m honestly considering switching to another provider unless I get proper human help!!!",Low,High,Ineffective AI / Chatbot Support,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
1503,"I cannot BELIEVE the state of your customer service! I just spoke to someone about my broadband issues, and they were no help whatsoever! Please, let me escalate this to a supervisor. I’ve had enough of this ridiculous AI nonsense! I want a proper person to sort this out. I deserve better!!!",Low,High,Ineffective AI / Chatbot Support,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
1504,It is appalling that I have to reach out once again about my loyalty penalty! I switched from another provider and I was promised better service! I’ve called a few times and been brushed off each time. Now I want to escalate this to a manager or the Ombudsman because this is out of control. FIX THIS ASAP!,Low,High,Loyalty Penalty,Terse and minimal,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1505,"I'm trying to cancel my service due to health issues and it looks like I'm being TRAPPED! I can't believe it’s so difficult. This is my SECOND ATTEMPT, but I still get the runaround. I would really like to exercise my rights so if this isn’t sorted soon, I will have to take further action. It’s UNACCEPTABLE!!!",Low,High,Difficulty Cancelling Service,Legalistic / rights-aware,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
1506,"This is completely outrageous! I’ve tried contacting you so many times about trying to cancel, but every time I get put on hold or routed to the same useless FAQ page! I have a small business that needs a functioning line, but I also need to cancel after a lack of support. If I don’t get real help soon, I will escalate this to Ofcom. Seriously, how difficult can this be?",Low,High,Difficulty Cancelling Service,Legalistic / rights-aware,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
1507,"Listen, I’m at my wits’ end! My mobile is freezing ALL THE TIME, and I called support today! They said I should just ‘try turning it off and on again.’ Are you kidding me? I’ve done that 15 times! This is my first complaint about it, but if this doesn’t get sorted, I’ll be out the door. I deserve a reliable phone for my work!",Low,High,Faulty Hardware / Handset Issues,Verbose and detailed,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
1508,"I feel completely scammed! I was charged hidden fees that I never agreed to, and I've been a loyal customer for too long to be treated like this! I want a detailed explanation NOW! I've been raised this issue twice already, and every response has been dismissive. I want a manager to handle this situation ASAP — it is nothing short of disgraceful!",Low,High,Hidden Fees & Charges,Casual conversational,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1509,"I am absolutely furious about these hidden charges! I am a student and I barely have money to spare! After contacting customer service multiple times with no resolution, I am simply at a loss. These extra fees are unacceptable! I expect immediate action on this matter, otherwise, I will escalate it to the relevant authorities!",Low,High,Overcharging & Incorrect Billing,Terse and minimal,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
1510,"I just do not understand how you can get away with this! I’ve been billed incorrectly for over a month now, and this is my second attempt to resolve it. I feel like I've been pushed aside and utterly disregard. If I don’t get a full refund and an explanation soon, I will explore legal options. It’s unacceptable!",Low,High,Poor Network Coverage,Terse and minimal,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
1511,"I can’t believe I have to complain again, but it seems like every time I reach out about poor network coverage, there’s no resolution! I have been with you for over 10 years! This is not what I signed up for, and I WILL be leaving if this continues! Enough of the excuses, fix the coverage or I’m gone!",Low,High,Hidden Fees & Charges,Legalistic / rights-aware,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1512,"I just got off the phone after counting more than 45 minutes on hold! This is absolutely ridiculous! I’ve reached out previously about this long waiting time to cancel my service, but I’m still met with the same poor service! I demand that someone address this immediately! This is a total waste of time and completely unacceptable!",Low,High,Long Call-Waiting Times,Legalistic / rights-aware,Recently switched from another provider,Second attempt — raised once before with no resolution
1513,"I am absolutely livid at the sheer neglect I have faced with my account! On September 1st, I received a notification for an auto-renewal of my plan without my consent. I've called twice this month, speaking to Adam and then Lisa, yet nobody seems to care about my rights as a disabled customer. This isn't just a mistake; it's a blatant disregard for my trust! I am escalating this to the ombudsman, and I advise you to sort out your processes before I take further action!",Low,High,Auto-Renewal Without Consent,Legalistic / rights-aware,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1514,"I can't believe I am forced to write this again! I've contacted your support team 4 times since I switched from my previous provider just to address this ridiculous loyalty penalty. It feels utterly disgraceful! My bills keep rising without any explanation, and every time I speak to someone, I get different excuses. It's absolutely infuriating! I demand immediate clarity on the ongoing charges or I will be looking to take my business somewhere else. How can you treat long-standing customers this way?",Low,High,Loyalty Penalty,Verbose and detailed,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
1515,"I don't know why I even bother trying to get help! The AI chatbot is absolutely useless, it talks in circles and I've been left feeling completely helpless! I reached out for the first time today, seeking assistance with my account, and instead got a robotic response that provided no actual help. This is frankly pathetic! If this is the level of service I can expect, I’ll be considering other options. I shouldn’t HAVE to escalate such basic issues! You need real people answering calls!",Low,High,Ineffective AI / Chatbot Support,Legalistic / rights-aware,Student on a tight budget,First contact — raising the issue for the first time
1516,"Just a quick note to say I'm furious about the mid-contract price increase! I am a student, and I signed up for a 12-month plan with clear promises that my rate wouldn’t change. And yet, here we are! I can’t even believe this is happening! Your staff have been less than helpful, and this is just plain wrong. I am too tight on budget as it is! Fix this or I’m out!",Low,High,Mid-Contract Price Increase,Terse and minimal,Student on a tight budget,First contact — raising the issue for the first time
1517,"I cannot express how disgusted I am with your service! I’ve had ongoing issues with my handset since day one, and I raised this immediately with your support, but I feel completely ignored! I called up just yesterday again and spoke with Raj, who just gave me some nonsense about how it's a 'normal' problem for handsets. I am not here for excuses; I expect something fixed! I'm disabled and rely on my phone for so much—this is beyond appalling! You need to do more than just rely on your robots for support!",Low,High,Faulty Hardware / Handset Issues,Passive-aggressive / sarcastic,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
1518,"Honestly, I’m starting to think I made a mistake switching to your service! My broadband speed is so slow I might as well be using a dial-up connection! I thought I could deal with it initially, but it hasn’t improved since my switch on the 10th of last month. I’m fed up waiting for my service to speed up! If this continues, I’ll seriously consider going back to my previous provider. I’m sure they could provide me with better service than this!",Low,High,Slow Broadband Speeds,Casual conversational,Recently switched from another provider,First contact — raising the issue for the first time
1519,"As a parent managing a family plan, I am honestly fed up with dealing with your chat service. It’s like speaking to a wall! I have escalated my frustrations previously, yet nobody seems to take this seriously. I spend ages running circles around your ridiculous system, only to come out frustrated and without answers! If I don’t hear back from a real manager soon, then I’ll just have to escalate this to Ofcom. Your service is unacceptable!",Low,High,Ineffective AI / Chatbot Support,Passive-aggressive / sarcastic,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1520,"I can’t believe I just noticed this auto-renewal—it's beyond unacceptable without my consent. I have called your support team multiple times, and every time I ask about it, I get canned responses! I urgently need this sorted; it’s blocking my account! Your service isn’t even close to what was promised two months ago. If this doesn’t get sorted out A.S.A.P., I’ll be looking elsewhere. Enough is enough!",Low,High,Auto-Renewal Without Consent,Terse and minimal,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
1521,"I received a bill with hidden charges that I never expected! This is the first time I’m addressing the issue, but what a way to start my service with you. I switched over just last month, and I’m already ready to throw in the towel! If I am going to keep seeing unexplained fees, I’ll be looking into other providers immediately. You absolutely need to clarify why these charges are showing up!",Low,High,Mid-Contract Price Increase,Legalistic / rights-aware,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1522,"I have been trying to cancel my service for weeks and keep hitting a brick wall! Each call is met with a maze of options and dead ends. This is utterly ridiculous! I don’t know who designed your customer service, but it’s causing me so much stress. If I can't get it done soon, I will escalate to Ofcom. I’m not an endless source of income for you to ignore! Something has to change here, or I’m walking!",Low,High,Difficulty Cancelling Service,Casual conversational,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
1523,"I feel completely betrayed by your company! You’ve silently increased my mid-contract price and your response is that it’s normal! I reached out last week to Linda, but she was thoroughly unhelpful. 10 years being loyal and this is how you treat long-term customers? Absolutely disgraceful! I want an immediate explanation or I’m not staying. I will take this further if I have to because this isn't right!",Low,High,Auto-Renewal Without Consent,Narrative / storytelling,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
1524,"I’ve already reported this to your team, but I’m still dealing with the mess you’ve created with my auto-renewal. Reaching out more than 5 times so far and absolutely nothing has changed! It's beyond frustrating! How hard is it to fix a simple mistake? I run a business and rely on my account, yet here I am feeling completely abandoned! If this doesn’t get rectified shortly, I might just switch providers. This lack of real customer support is disgraceful!",Low,High,Hidden Fees & Charges,Casual conversational,Recently switched from another provider,First contact — raising the issue for the first time
1525,"The chat support just isn’t doing anything to help! I’ve tried and tried, but all I get is the same pointless answers. I want to escalate this matter because frankly, it's unacceptable! As a parent juggling so much, I don't have the time for ineffective support. It’s infuriating to feel stuck in a loop when all I need is a straightforward answer! Treat your customers better or I will be taking my business away from you!",Low,High,Faulty Hardware / Handset Issues,Legalistic / rights-aware,Recently switched from another provider,Second attempt — raised once before with no resolution
1526,"I’m done! I just found out about extra fees I was never informed of after switching! This is the very first time I’m speaking up, but I’m a recent customer and feeling completely disillusioned! Your pricing structure is downright deceptive, and if I don’t get clarity and a correction within the next few days, I’ll be looking elsewhere. Enough is enough; this is simply not how businesses should operate!",Low,High,Difficulty Cancelling Service,Verbose and detailed,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
1527,"I can’t take this anymore! Reached out multiple times already just to cancel your terrible service! Each time it’s like starting over, and I feel like nobody understands that I have been dealing with this for weeks! As a disabled customer, it’s exhausting! Are you ever going to let me leave or do I need to escalate further? I shouldn’t have to threaten legal action just to end a contract, for goodness’ sake!",Low,High,Mid-Contract Price Increase,Legalistic / rights-aware,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
1528,"I'm absolutely livid about the auto-renewal of my plan that was done without my consent! I've been a loyal customer for years, running a small business that relies on your services. I spoke to Sarah on the 15th of September, and she assured me that I would be reimbursed for the unintended charges. It's now October, and I’m still waiting! This is disgraceful. I will be taking this to the ombudsman if I don’t hear back immediately.",Low,High,Auto-Renewal Without Consent,Verbose and detailed,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1529,"I am beyond frustrated! The network coverage for my family plan is appalling! I have reached out multiple times, most recently to John last week, but nothing has changed. My children can’t even make calls in our home! I’ve had it and will have to consider changing providers if this isn't resolved soon. It’s been several weeks of empty promises. How hard can it be to fix a signal?",Low,High,Poor Network Coverage,Verbose and detailed,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1530,"I can't tell you how infuriating this situation is! My handset, which is just a few months old, keeps freezing and turning off randomly. I mentioned it to your support team on the 22nd, and I was told to try troubleshooting, but nothing works! I’ve always been a loyal customer, and I feel completely abandoned. If this doesn’t get sorted out soon, I’ll have to look elsewhere. I can't keep living with this device!",Low,High,Faulty Hardware / Handset Issues,Casual conversational,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
1531,"I am reporting the auto-renewal again without my permission! This is so frustrating! I reached out weeks ago about this issue, and it still hasn't been resolved. I don't understand why my account was charged again! I’ve received no help since then, and I won’t stand for this anymore. I am seriously considering legal action if you don’t fix it now.",Low,High,Auto-Renewal Without Consent,Terse and minimal,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
1532,"It’s absolutely appalling! I’ve contacted your support team numerous times about my faulty phone. Each time, I've spent hours on the phone and all I hear is the same useless script. You’re making me feel like I’m somehow responsible for this! I've been a customer for over 10 years and have never experienced such poor service! Enough is enough – fix it now or I’m out!",Low,High,Faulty Hardware / Handset Issues,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
1533,"I can’t grasp why I’m being penalized for loyalty! As a student, every penny matters, and yet my billing reflects an increase without any reason. I raised this issue last week, and I was told a specialist would call me back. Guess what? No call, no answer! I am sick of waiting. If I get charged again next month, I won’t hesitate to leave you and find a better provider. This is ridiculous!",Low,High,Loyalty Penalty,Casual conversational,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
1534,"Your AI support is absolutely useless! Last week I tried using the chatbot to resolve my query, and it just kept giving me irrelevant responses. This is the second time I’ve faced this! I contacted your support line after my first attempt but got no help either. I’m so frustrated. Please get someone to actually help me, or I’ll be forced to escalate.",Low,High,Ineffective AI / Chatbot Support,Casual conversational,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
1535,"I’m absolutely furious over the incorrect charges on my bill! I’ve long since alerted your team and had a chat with James on the 23rd of September. He promised a resolution, but all I see is a more inflated bill! How can this be acceptable? As an elderly customer who struggles with technology, I feel like I’m being taken advantage of. This is disgraceful; I’m more than ready to escalate this to Ofcom!",Low,High,Overcharging & Incorrect Billing,Narrative / storytelling,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
1536,"Each time I’ve reported the poor coverage, nothing gets done. I contacted support several times and spoke to Matthew on the 20th of August. He promised improvements, but I still can’t use my phone anywhere near home! At this point, I’m beyond disappointed. If I don’t see any action taken soon, I’ll be making a formal complaint. My patience has worn thin.",Low,High,Poor Network Coverage,Legalistic / rights-aware,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
1537,"I cannot believe I’m still dealing with these loyalty penalties! I raised the same concern two weeks ago and I’m still being charged extra just because I’ve been with you longer! It feels impossible to get someone to take me seriously. I don’t know how you justify this. If it happens again next month, I swear I’ll find another provider quick!",Low,High,Loyalty Penalty,Casual conversational,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
1538,"I need to cancel my service and it’s been just chaotic trying to do that! I called support last week and spoke with Sarah. She said she’d help, but after 45 minutes on the phone, nothing was sorted! How is that even possible? I’m fed up. If this takes longer than another week, I’m ready to escalate this matter to a regulator because I want out!",Low,High,Difficulty Cancelling Service,Casual conversational,Recently switched from another provider,Second attempt — raised once before with no resolution
1539,"Listen, I’m writing about the network issues again, and I’m utterly fed up! I initially raised the problem last month. It's the same story every single time; I can barely get a signal! Why should I pay for a service that doesn’t work? I gave you a chance to remedy the situation! I’m prepared to take this further if this isn’t sorted soon.",Low,High,Poor Network Coverage,Verbose and detailed,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
1540,"I can’t shake the feeling that I’m just throwing money away due to hidden fees! I’ve contacted you several times, most recently on the 5th of October, about these mysterious charges. I felt dismissed! What kind of service is this? You should be ashamed. If it keeps happening, I assure you, I will escalate this to Ofcom without hesitation.",Low,High,Poor Network Coverage,Verbose and detailed,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1541,"I’m so distressed by how often my phone drops calls! I reached out last week and was told everything was fine, but obviously that’s not true. Every day the situation gets worse and I’m fed up! As a student on a budget, I need a reliable service! I won't tolerate this any longer. If I have to keep repeating myself, I will start looking for a different provider, believe me.",Low,High,Hidden Fees & Charges,Legalistic / rights-aware,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
1542,"I’m reaching out once more about the faulty handset I have! Every time I explain this to your support team, they act like it’s my fault! I called in last Friday, and the rep just read off a script and didn’t care. This is infuriating! If you aren’t able to help me fix this, I really will be switching services. I don't have time to waste!",Low,High,Overcharging & Incorrect Billing,Narrative / storytelling,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
1543,"Honestly, I can’t believe I’m receiving a price increase mid-contract. I’m a student trying to scrape by, and here you are, upping my bill. I reached out last month and spoke to Chloe, who reassured me my plan was locked, yet somehow now it's not? Absolutely ludicrous. How do you expect a student to manage these ever-increasing costs? I’m seriously considering jumping ship to a provider that actually respects its customers.",Low,High,Mid-Contract Price Increase,Passive-aggressive / sarcastic,Student on a tight budget,Second attempt — raised once before with no resolution
1544,"I switched to your service a few weeks ago, and I’m absolutely appalled at the sheer lack of communication from your team! I've spent hours on the phone and contacted you at least four times, only to be told different things by different people. The last time was with Mark on 15th October, and he promised me a detailed update within two days, yet here I am, still in the dark. Did I sign up for a telecoms horror show? If the updates keep going this way, I'm prepared to escalate to Ofcom. You can't leave your customers in limbo like this!",Low,High,Lack of Progress Updates,Verbose and detailed,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
1545,"Waiting over 30 minutes for a call to be answered is beyond frustrating! I've got kids to manage and can't spend half my day just to talk about a service I’m paying for. This was my first call, and I expected better from your company. If this is the level of service I can anticipate, I might as well look elsewhere! Ridiculous.",Low,High,Long Call-Waiting Times,Terse and minimal,Parent managing a family plan,First contact — raising the issue for the first time
1546,"Oh, wonderful, I haven’t heard a peep from you regarding my last enquiry! It's now over a week since I asked about my billing issue, and all I get is silence. I called once before, but no one seems to care about resolving this. Do you even have a customer service department? Disgraceful. I’d expect a proper update, considering I manage a family plan and would like to know if my bill is being resolved or not!",Low,High,Lack of Progress Updates,Passive-aggressive / sarcastic,Parent managing a family plan,First contact — raising the issue for the first time
1547,"What an absolute joke! I've contacted your team multiple times regarding hidden charges on my account, and rather than getting answers, I’ve been met with radio silence. I spoke to Tom a week ago, and he assured me someone would get back to me. It’s like I’m being toyed with! I've given you enough chances — if I don't hear back soon, I'm walking away and taking my family’s custom elsewhere!",Low,High,Hidden Fees & Charges,Passive-aggressive / sarcastic,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
1548,"I’ve been a loyal customer with your company for over 10 years, and I’m just patently frustrated with these slow broadband speeds. I reached out a month ago and was told it would improve, but it's only getting worse! How hard is it to provide reliable service? I can't even stream a video without buffering every few seconds! I expected much more from your service. With how long this has dragged on, I’m seriously considering switching to a competitor if this isn’t rectified soon!",Low,High,Slow Broadband Speeds,Casual conversational,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
